"RelativePath","SizeBytes","SizeKB","SizeMB","Extension","LastWriteTime"
".git\objects\pack\pack-03b54b172a71bd5d8ab6a9732a18859617cdfe19.pack","17877406","17458.4","17.049",".pack","2026-03-06 04:43:33"
"node_modules\@esbuild\win32-x64\esbuild.exe","10557952","10310.5","10.069",".exe","2026-03-03 10:54:51"
"node_modules\vite\node_modules\@esbuild\win32-x64\esbuild.exe","9913856","9681.5","9.455",".exe","2026-03-03 10:54:51"
"node_modules\@esbuild-kit\core-utils\node_modules\@esbuild\win32-x64\esbuild.exe","9550848","9327","9.108",".exe","2026-03-03 10:54:50"
"node_modules\typescript\lib\typescript.js","8927529","8718.29","8.514",".js","2026-03-03 10:54:52"
"node_modules\lightningcss-win32-x64-msvc\lightningcss.win32-x64-msvc.node","8533504","8333.5","8.138",".node","2026-03-03 10:54:50"
"node_modules\react-icons\gi\index.js","7037131","6872.2","6.711",".js","2026-03-03 10:54:52"
"node_modules\react-icons\gi\index.mjs","6945096","6782.32","6.623",".mjs","2026-03-03 10:54:58"
"node_modules\jspdf\dist\jspdf.umd.js.map","6843211","6682.82","6.526",".map","2026-03-03 10:54:55"
"node_modules\typescript\lib\tsc.js","6076160","5933.75","5.795",".js","2026-03-03 10:54:49"
"node_modules\react-icons\pi\index.js","5912218","5773.65","5.638",".js","2026-03-03 10:54:56"
"node_modules\react-icons\pi\index.mjs","5663588","5530.85","5.401",".mjs","2026-03-03 10:55:00"
"node_modules\jspdf\dist\jspdf.node.js.map","5200431","5078.55","4.96",".map","2026-03-03 10:54:53"
"node_modules\react-icons\si\index.js","5167123","5046.02","4.928",".js","2026-03-03 10:54:57"
"node_modules\react-icons\si\index.mjs","5097964","4978.48","4.862",".mjs","2026-03-03 10:55:00"
"node_modules\jspdf\dist\jspdf.es.js.map","4999231","4882.06","4.768",".map","2026-03-03 10:54:51"
"node_modules\tailwindcss\peers\index.js","4504586","4399.01","4.296",".js","2026-03-03 10:54:53"
"node_modules\lucide-react\dist\umd\lucide-react.js.map","4373456","4270.95","4.171",".map","2026-03-03 10:55:10"
"node_modules\lucide-react\dist\cjs\lucide-react.js.map","4305292","4204.39","4.106",".map","2026-03-03 10:55:10"
"docs\full-file-inventory.csv","3921335","3829.43","3.74",".csv","2026-03-06 14:18:44"
"node_modules\exceljs\dist\exceljs.js.map","3818697","3729.2","3.642",".map","2026-03-03 10:55:01"
"node_modules\lucide-react\dist\umd\lucide-react.min.js.map","3797614","3708.61","3.622",".map","2026-03-03 10:55:10"
"node_modules\drizzle-kit\bin.cjs","3726943","3639.59","3.554",".cjs","2026-03-03 10:54:47"
"node_modules\exceljs\dist\exceljs.bare.js.map","3606444","3521.92","3.439",".map","2026-03-03 10:55:00"
"node_modules\.vite\deps\exceljs.js.map","3550947","3467.72","3.386",".map","2026-03-05 16:17:40"
"node_modules\jspdf\dist\jspdf.umd.min.js.map","3425017","3344.74","3.266",".map","2026-03-03 10:54:55"
